brand,name,country,city,region,subregion,lat,lng,status,kind,note,art,url,maps,nycDirect,source
Aman,Aman New York,United States,New York,New York,,40.7608,-73.9733,Open,Hotel / resort,,False,https://www.aman.com/search?keys=Aman%20New%20York,https://www.google.com/maps/search/?api=1&query=Aman+New+York+New+York+United+States,True,Aman official directory
Aman,Aman Beverly Hills,United States,Beverly Hills,California,,34.0736,-118.4004,Opening 2028,Hotel / resort,,False,https://www.aman.com/search?keys=Aman%20Beverly%20Hills,https://www.google.com/maps/search/?api=1&query=Aman+Beverly+Hills+Beverly+Hills+United+States,False,Aman official directory
Aman,Amangani,United States,Jackson Hole,Wyoming,,43.4799,-110.7624,Reopening soon,Hotel / resort,,False,https://www.aman.com/search?keys=Amangani,https://www.google.com/maps/search/?api=1&query=Amangani+Jackson+Hole+United+States,False,Aman official directory
Aman,Amangiri,United States,"Canyon Point, Utah",Utah,,37.0169,-111.6177,Open,Hotel / resort,,False,https://www.aman.com/search?keys=Amangiri,"https://www.google.com/maps/search/?api=1&query=Amangiri+Canyon+Point,+Utah+United+States",False,Aman official directory
Aman,Amansanu,United States,Texas Hill Country,Texas,,30.2672,-98.8719,Coming soon,Hotel / resort,,False,https://www.aman.com/search?keys=Amansanu,https://www.google.com/maps/search/?api=1&query=Amansanu+Texas+Hill+Country+United+States,False,Aman official directory
Aman,Amanera,Dominican Republic,Playa Grande,María Trinidad Sánchez,,19.6791,-70.0744,Open,Hotel / resort,,False,https://www.aman.com/search?keys=Amanera,https://www.google.com/maps/search/?api=1&query=Amanera+Playa+Grande+Dominican+Republic,False,Aman official directory
Aman,Amanyara,Turks and Caicos Islands,Providenciales,Providenciales,,21.8261,-72.274,Open,Hotel / resort,,False,https://www.aman.com/search?keys=Amanyara,https://www.google.com/maps/search/?api=1&query=Amanyara+Providenciales+Turks+and+Caicos+Islands,True,Aman official directory
Aman,Amanvari,Mexico,"East Cape, Baja California Sur",Baja California Sur,,23.1806,-109.7047,Opening 2026,Hotel / resort,,False,https://www.aman.com/search?keys=Amanvari,"https://www.google.com/maps/search/?api=1&query=Amanvari+East+Cape,+Baja+California+Sur+Mexico",False,Aman official directory
Aman,Aman Miami Beach,United States,Miami Beach,Florida,,25.7907,-80.13,Opening 2027,Hotel / resort,,False,https://www.aman.com/search?keys=Aman%20Miami%20Beach,https://www.google.com/maps/search/?api=1&query=Aman+Miami+Beach+Miami+Beach+United+States,False,Aman official directory
Aman,Amancaya,The Bahamas,Exuma / Bahamas,Bahamas,,23.6193,-75.9695,Coming soon,Hotel / resort,,False,https://www.aman.com/search?keys=Amancaya,https://www.google.com/maps/search/?api=1&query=Amancaya+Exuma+/+Bahamas+The+Bahamas,False,Aman official directory
